Website,Aims/Objectives/Mission,Pin,Mobile,name,Phone,Purpose,Add.,Email,Contact Person
,"If any person who want to legal help or advice regarding Consumer act, RTI, human right, women’s issues, labour right, child and corporate law etc.",110008,91-98686 24555,ADHIKAR,,"Consumer act, rti, human right, women’s issues, labour right and corporate law.","F-70, West Patel Nagar
New Delhi",mithilesh_law@yahoo.com,Mithilesh Kumar
http://www.agsamiti.org,"Empowering women through education, vocational training, awareness programmes for health, environment, panchayti raj, RTI and economiclly strong and self reliant.",110070,91-98111 71752,Adi Gram Samiti,91-11-26133994,Collaboration,"B-1/1106 A, Vasant Kunj
New Delhi",agsamiti@vsnl.net,Vinod Kumar Kanathia
,Upliftment of urban and rural poor in health and educational sector.,110093,91-99683 14761,Aditya Educational & Medical Society,91-11-22810761,Education and health upliftment.,"D 375, Hardev Puri
Delhi",adityasociety@yahoo.com,A.V. Singh
http://www.afdwose.org,"AFDWOSE focuses to bring about social transformation through community empowerment, capacity building and ecological development. Trust areas of work include Health, Education, women empowerment and improved water and land practices.",110025,"91-98109 04916, 91-97111 09697",AFDWOSE – Action for Development & Welfare of Society & Environment,91-11-29946350,"Education, health, NRM, water, women empowerment, child development, rural development, agriculture.","A-16/1 Shaheen Bagh, Abul Fazal Enclave-II, Jamia Nagar Okhla
New Delhi",afdose@gmail.com,Dr. Asif Umar
http://www.arthfound.org,"AFI in its endeavour to take osteoporosis and Bone Health to common people is creating various communication programmes and we are hopeful that people will take full advantage of these programmes and ultimately attain our goal of total Bone Health. Our slogan is Bone Health – a Right, Realize it.",110091,91-98101 13828,AFI – Arthritis Foundation of India Trust,91-11-22732895,"Bone health – a right, realize it.","15 A, Pocket B, Mayur Vihar, Phase II
Delhi",afi_india@rediffmail.com,Gaurav
http://www.agewellfoundation.org,Agewell Foundation is committed to make a coordinated effort with compassion and understanding to transform social attitudes towards senior citizens. The effort is to create the infrastructure to empower every older person. Bring about a change in perceptions about old age. Initiate steps towards senior citizens friendly environment. Evolve a sense of moral and social responsibility towards senior citizens. Advocate for the needs and rights of senior citizens. Extend a helping hand to senior citizens wherever required.,110024,91-98100 30979,Agewell Foundation,91-11-29836486,Old age care,"M 8 A, Lajpat Nagar II, Second Floor
New Delhi",agewellfoundation@gmail.com,Himanshu Rath
http://www.ahelp.in,To promote the interests of rural India in its chosen feilds. To create a mass information system to help the masses. To take corective steps by involving NGOs/ Socities who are desirous of working and are committed.,110046,"91-94133 64777, 91-97175 70583",Agriculture Health Education & Leisure for People,,"Funding in areas of agriculture, health, education & leisure.","WZ 334, 2nd Floor, Nangal Raya
New Delhi",ahelpindia@gmail.com,"Ranjit Singhvi, Devojit Dutta"
,Providing services in the field of agro activities & animal husbandry services in rural areas as well as environmental services in urban areas.,110070,91-98111 53104,Agro Greens,,Agro and environment funding,"B-4483, Vasant Kunj
New Delhi",agrogreens@gmail.com,Manish Koshal
http://www.ahsdango.com,"Education, justice, health, employment for all.",110051,"91-98106 61110, 91-98111 92590",AHSDA NGO – Amar Holistic Society for Disabled,91-11-2098120,Social welfare for disabled and under privileged class.,"Amar Complex, B-24, Kanti Nager Shahdara
Delhi",ahsdango@gmail.com,"Amar Nath Nagpal, Naseem Usman"
http://www.ahwaanfoundation.org,"Ahwaan bal mukti aandolan -campaign against trafficking & commercial sexual exploitation of children, udaan – education project for urban deprived children. our vision is a world where all children are protected against exploitation and have every opportunity for development. Both our projects are aimed towards this end.",110049,91-98113 81695,Ahwaan Foundation,91-11-24508967,Youth engagement for child rights,"1820/2, 1st Floor Gurudwara Road, Kotla Mubarakpur
New Delhi",ahwaanfoundation@gmail.com,Ritesh Sharma
,"To work for community development and welfare of the economically and socially backwards. To provide opportunity for educating economically poor and needy. To open educational institute for young, kids and unemployed youth. To organize seminars, symposium for young and old. To work for the educational upliftment of illiterate. To promote cultural and social activities by arranging cultural programmes and sports. To arrange competitions in every field of education for the growth of young, kids and youth by giving the prizes. To arrange, picnic and educational tour programmes. Computer facility will be provided for all. To provide free education for helpless and poor and also to rural areas.",110018,91-98918 65800,AIDER,,Global social health welfare for trust and science communication in rural villages for poor.,"292, DG3
New Delhi",aiderindia@yahoo.in,V K Jha
http://www.aidscarencure.com,"To aware people, blood donation camps, keeping eye on ayurvedic treatment.",110092,"91-98100 81106, 91-98914 44998, 91-97114 15833",Aids Care N Cure Society,91-11-22455675,"Help for those peoples who are suffering from this disease, try to aware people to this disease.","139 J.K. Block, Laxmi Nagar
New Delhi","aidscarencuresociety@gmail.com, sunilpandey@aidscarencure.com, rakeshsharma@aidscarencure.com","Sunil Kumar Pandey, Raju Ram, Rakesh Sharma"
,"A healthy and hygienic India, free of the practice of defecation in the open and faecal pollution of environment. A society free of untouchability, social discrimination and prevalence of thesub-human practice of manual cleaning of human excreta. To provide Sulabh-Shauchalayas in schools, especially in rural areas, sothat girls are not discouraged going to schools in absence of toilet facilities. To convert existing bucket/dry latrines into Sulabh-Shauchalayas to do awaywith the system of scavenging. To construct and maintain public toilets on pay and use basis.",110059,91-93505 28281,AIEESWS – All India Environment & Educational Social Welfare Society,91-11-25636523,Slum and sanitaion.,"Dwarka, New Delhi
New Delhi",allindia2004@gmail.com,Ram Kumar
"http://www.aihra.org, http://www.aihra.com","Promote organisation of forums such as co-operative societies, mandals and association of women, youth and workers with a view to undertake collective activities for socio-economic development. Organize educational and vocational training programme with special concern for deprived sections, women/girls and unemployed youth to provide new skills, refine/sharpen/upgrade the existing skills leading to employment, self employment and income generation. To support through the un frame work, democratic and economic reforms in countries coming out to totalitarian control and to restrict cooperation with governing regimes that violate human rights.",110092,"91-93131 25531, 91-92134 93068",AIHRA – All India Human Rights Association,91-11-43026940,To Educate the Masses about their Rights and Privileges.,"24, KMT Bhawan, II Floor, Street No.2
Delhi",humanright16@hotmail.com,"M U Dua, S Muralidharan"
,"Promoting of education, art and culture to needy and poor children.",110005,91-98101 53270,Akhib Bhartiya Kala Parishad,91-11-25747233,Education,"A-2, Prasad Nagar
New Delhi",abkpa2@gmail.com,Veena Sharda
http://www.dhanaksamaj.com,We are fighting for thye rights of all India Dhanak samaj communities whose poplutaion in India is more than 5 crores and they are living below poverty line. All other SC-ST Samaj got their share from Governments in India so we are fighting for their rights.,110085,"91-98189 47526, 91-98718 07444",Akhil Bhartiya Dhanak Sangathan,,Fighting for the rights of most poorest community of India Dhanak samaj.,"51, Vidya vihar, 48, Sec-9, Rohini
New Delhi",dpkirar@gmail.com,Yogesh Kirar
,To remove poverty from India & make it a well developed country.,110092,91-92112 51028,Akhil Bhartiya Manav Kalyan Samiti,,To help poor people.,"S-547, A School Block Shakarpur
Delhi",bunty_tyagi78@yahoo.co.in,Shyam Singh Tyagi
,"Health, education, food.",110045,91-93139 51311,Akhil Bhartiya Manav Kalyan Sangathan,,Required fund human welfare.,"F-448, A-4, Sadh Nagar
New Delhi",sudhakar.bharati@yahoo.co.in,Sudhakar Bharti
,"Our sanstha do work for women, childran, health and environemt awareness and do social work for those who are really needed.",110059,91-92139 75491,Akhil Bhartiya Nav Prayas Sanstha,,To spread awareness and do well for needy people.,"R-38, Vani Vihar, Uttam Nagar
New Delhi",abnps.ngo@gmail.com,Preeti Pandey
http://www.gandhi-manibhavan.org/relatedlinks/in,Promot Gandhian philosophy and one of his dream to health healing part for the poor Indian.,110002,91-93134 50055,Akhil Bhartiya Prakritik Chikitsa Parishad,91-11-23317396,Yog and Naturopathy,"15, Rajghat Colony, Rajghat
New Delhi",,Dr. Atul Kr.
,"For the welfare of children, aged, environment, physically challanged, vocational courses etc.",110093,91-98114 68519,Akhil Bhartiya Prerna Vikas Samiti,91-11-22128519,Social welfare.,"C 3/121, Nand Nagri
Delhi",delhi.abpvs@gmail.com,Ramesh Kumar Prabhakar
,Akhil Bhartiya Swatantra Lekhak Manch is NGO’s and monthly newspaper.,110009,"91-93122 44220, 91-94125 09757",Akhil Bhartiya Swatantra Lekhak Manch,,Social workers,"102, Malik Pur, Model Town
Delhi",raghib.ali@rediff.com,Laxman Singhwatantra
,Social awareness.,110033,91-98734 50998,Akhil Bhartiya Yuva Sangh,,Social work,"K-1346-47, Jahangir Puri
Delhi",akhileshjhadelhi@gmail.com,Akhilesh Kumar Jha
,Tweet,110003,91-93139 47726,AKIN – Association for Know How Initiatives,,Capacity building and community development initiatives.,"B-122, IIIrd Floor, B.K. Dutt Colony
New Delhi",akinindia@hotmail.com,Ankur Singh
,To enrich the life style of autorikshaw users.,110002,91-98106 85786,All Delhi Autorikshaw Society,91-11-23221644,"Education, health, NRM, water, women empowerment, child development, rural development, disability.","6, MCD Market, Asaf Ali Road
New Delhi",asoka_online@yahoo.in,Ashok Sahni
,"Life Care Programme (Promote eye, blood, human organ & whole body donation to govt. Medical research institute), research on global warming, tree plantation programme, old age, handicap, wild life protection programm, agriculture research for farmer, information centre for farmers, rural development, education, health care services, helpline for foreign tourist & national tourist, helpline for exploitation, corruption, animal cruilty, water & river management programme, child development programm, female feticide etc.",110041,91-99714 29609,All India Association for Life Care & Social Welfare,91-11-25947228,All types of social activities including life care.,"D 217, Laxmi Park, Near Shiv Mandir, Nangloi
New Delhi",sociolifecare.india@gmail.com,Maan Singh
,"To work for the upliftment, welfare of down trodden, poor, street children, women, widows and physically handicapped in India.",110005,91-98912 32373,All India Association for SC/ST & Physically Handicapped,,Welfare and social work.,"63/4220, Raigar Pura, Karol Bagh
New Delhi",pcsakkarwal@yahoo.com,Phool Chand
,Help to poor people.,110009,91-99102 66080,All India Christian Congress,91-11-43711247,Social work,"A1/B, Vijaynagay
Delhi",jamesmassey1973@gmail.com,
http://www.aicteindia.org,"Education, technology development, health, rural development, agriculture, computer & technologies development.",110059,"91-93128 60186, 91-99585 14165, 91-97170 22227",All India Computer & Technical Education,,"Education, health, nrm, water, women empowerment, child development, rural development.","WZ-58-B, om Vihar, Uttam Nagar
New Delhi",rtyagi24@gmail.com,Ravinder Tyagi
http://www.dhanaksamaj.com,"Remove poverty, education and fight for the share of SC-ST schemes like financial, political, and Govt services from Indian Governments.",110085,"91-98189 47526, 91-98718 07444",All India Dhanak Organisation,91-11-27563299,Working for upliftment and rights of Dhanak.,"51, Vidya Vihar, 48, Sec-9, Rohini
New Delhi",dpkirar@gmail.com,Yogesh Kirar
http://www.hopelineindia.com,"There are many youth today who are unable to grow into self -reliant, mature citizens. More often it is the rural, tribal and the urban-poor youth that fall in this category. These youth need recognition of their capabilities and a support system that provides a platform for experiments and mutual benefits. Absences of these facilities has left them swinging between hope and despair. This is where Hope Line attempts to make difference. Hope Line identifies the needs of youth and facilities them. Promotes self-employment for rural youth and women.",110018,91-98109 48870,All India Hope Line Welfare Charitable Youth Society,91-11-22485494,Consortium for upliftment of youth.,"DG 111/397, Vikas Puri
Delhi",hopelineyouth@yahoo.co.in,A.K. Sharan
,"To initiciate for child rights, human rights, scs/sts educational empowerment, strategy for handicrafts artisans economic empowerment, shgs formation & conducting research study etc.",110030,91-98684 72175,All India Lakhan Ray Research Foundation & Rehab. Centre,,"Socio-legal & economic empowerment for the needy women, vocational training for the depressed class.","281/2B, Garhwali Colony, Near Aachar Factory, Ward No.2
New Delhi",kumar_ajay39@yahoo.co.in.,Dr. Ajay Kumar
,"Development activities and programmes for women, children, aged and handicapped, who belong to poor, urban & rural areas; provides occupational training and guidance for rehabilitation.",110092,91-98183 39614,All India Millat Vikas Samiti,,"Child welfare, development, disability, education, health, human rights, poverty, women issue.","254, Dda Flats, Seemapuri
Delhi",aimvs1999@yahoo.in,Ram Kirpal
,Tweet,110092,91-98730 97007,All India Serve Shreshth Educational & Cultural Society,,,"U 70, 3rd Floor, Shakarpur, Near Laxmi Nagar, Metro Station
Delhi",reenachopra_12@hotmail.com,Reena Chopra
,"To promotes socio-economic development of poor families through skill training, child care, education, environment conservation, health awareness, family welfare programmes, provisions of self employment opportunities and national integration. To aware general public against their duties and their rights.",110025,"91-92209 79009, 91-98057 85852, 91-98100 62361",All India Social Awareness Society,,To spread awareness,"F-281 Abul Fazal, Enclave 11, Okhla
Delhi",aisas.india@gmail.com,"Shahid Anjum, Tilak Raj Sharma"
,Society incorporate for the development of education and health all over India specially in rural and slums.,110085,91-98680 74900,All India Society for Humanity & Educational Development,,Educational & social welfare,"30, 6/1, Sector 2
Delhi",aished2003@gmail.com,Atul
http://www.aisedc.org,"Education, health, NRM, water, women empowerment, child development, rural development, disability, agriculture, old age care, animal care, microfinance.",110085,91-93115 68006,All India Society of Education,"91-11-65169192, 91-11-65169193",Development of society.,"AISE Bhawan, B-1/348, Sector 17, Rohini
Delhi",aise97@gmail.com,Rajesh Goyal
,Social work at all India level.,110091,91-99682 75102,All India Sonia Gandhi Vichar Manch,,Social welfare,"G-13-A, East Vinod Nagar
Delhi",harishnikhil@yahoo.co.in,Harish Kumar Hiteshi
,Best school can produce best student. Best student can makes a healthy nation & can creat crime free environment.,110077,"91-99908 12649, 91-99683 17917, 91-98129 81417",All India Students Welfare Council,,"Welfare of students, teachers, institutions.","H-390/A, Block H
New Delhi",aiswc@yahoo.com,N.K. Sharma
,Educate every person.,110091,91-98685 61400,Amar Samey Education & Welfare Society,,Educate every person.,"467, Trilok Puri
East Delhi",rk10137@gmail.com,Rajesh Kumar
,Every people group has been our heartbeat ! And every despised people in our concern.,110044,91-98186 15895,Ambassadors Welfare Society,91-11-26662649,To Develop the comunity,"J 54, Sourabh Vihar, Badarpur
New Delhi",ambassadorsinindia@yahoo.in,Rev. Nikhilesh Bhunia
,"Washout social evils like poverty, unemployment, corruption, aids, durg addict, and help for all human beings like baggers, old citizen given education and providing employment.",110070,"91-93121 66824, 91-93138 29210",Ambition Human Development,,"Washout Social Evils Like Poverty, Unemployment, Corruption, Aids, Durg Addict, and help for All.","A-18, Masood Pur, Opp. B-7 Petrol Pump
New Delhi",ambitionhumandevelopment@gmail.com,Kuldeep Lohchab
,"The aim and objectives of the organisation is on the basis of To bring meaningful purpose and well being to the lives of the people through the service, peace, purity, unity in diversity and well being by reconciling mankind to each other and to God. Amin stands for the aromatic movement to illuminate needy. Amin is open to receive funds and financial support for any of our objectives and the partnership too as per Amin Trust by laws.",110025,91-99903 88979,Amin Social Welfare Trust,91-11-29943822,"Education, health, employment, microfinance, child development, women empowerment, disability, rural development.","A-82, Thokar 6, Abul Fazal Enclave-II, Jamia Nagar Okhla
New Delhi",amin.swt@gmail.com,Nazir Ahmad
,"To develop poor community living in slum to help them to avail medical facility from government hospital, clean drinking water from government department, Primary health centre, education, training for women, awareness programmes, livelihood",110030,91-98995 07312,Anand Community Development Society,,Development of poors living in slums.,"113, St. John Church Compound, Mehrauli
New Delhi",,John Masih
http://www.saiprem.org,"Sai Prem – the love of life foundation registered as a trust in the name of sai prem children & old age home trust, is a global mission which is not limited to the boundaries of india; but stretched to all over the world for the holistic development and care of human being.",110036,91-99999 08219,Anant Path – Sai Prem Children & Old Age Home,,Spread brotherhoodism & social service,"Prem Kanan Aashram, 660 Kadipur, Near Swaroop Nagar
Delhi",publicrelation@saiprem.org,Acharya Haranand Sai
http://www.vegin.org,Main aim our trust advocasi for animal rights,110030,91-92509 26870,Animal Rights International,91-11-41641480,Animal rights.,"Ahimsa Bhawan, F 125, Lado Sarai
New Delhi",info@vegin.org,Avnish Jain
http://www.appjiva.org,"The department has been actively engaged in teaching, research and extension work. It works for integrated development of an adopted village and a slum. It provides training and awareness on health, environment, child welfare and womens empowerment.",110091,"91-93113 56250, 91-95823 78351",Anispriyon Punar Jagran IVA,,"Child welfare, education, health, training.","11/116, Block 11, Near Vasundhara Road, Trilokpuri
Delhi",manavdwivedi@gmail.com,Manav Dwivedi
,Education for not school going children.,110082,91-92108 30456,Anit Social Welfare Foundation,91-11-20473167,Education.,"59, Holambi Khurd, New Delhi
New Delhi",lalitgupta_1977@rediffmail.com,Lalit Gupta
http://www.ankindia.org,"ANK mission is to empower economically backward children through knowledge, health care, education, vocational training and commitment.",110017,91-98105 61157,ANK,,Working for underprivileged children providing quality education.,"JG-40(3GF), Khirki Extn., Malviya Nagar
New Delhi",abhishek@ankindia.org,Abhishek Kishore
http://www.anmolzindgi.org,"Work for old age people, women & environment etc.",110052,91-98106 09045,Anmol Zindgi,,Social work,"A-27, Radhey Shyam Park
Delhi",anmolzindgi.org@gmail.com,Vipin Mittal
http://www.anugrahadrishtidaan.org,"Our Vision is to touch lives of millions of people and improve their quality of life on sustainable basis especially those who are less privileged. MissionTo provide quality and affordable services both preventive and curative to people suffering from any physical illness. Our focus shall be to provide proper opportunities and environment to children, women, youth and aged to develop and empower themselves to be an asset. We are committed to render services with love and bring smile in their faces. To campaign for eye screening to detect eye ailment in the school going children in particular and children in general.",110091,91-98912 58006,Anugraha Drishtidaan,91-11-22751327,"Health education, child development.","121 D Pocket 1, Mayur Vihar
New Delhi",anugrahadrishtidaan@yahoo.co.in,Prateek Pathak
,"To educate related to upliftment of weaker people. Immunisation, health guidance and old aged people help.",110096,91-98111 04835,Anushri Rural Development Society,,To uplift and educate rural and weaker people.,"7-D, Pkt.5, DDA Flats, New Kondli Mayur Vihar-III
Delhi",bhattacharya.anoop@gmail.com,Anoop Bhattacharya
http://teamanvesh.weebly.com/index.html,"Education, employment awareness, talent promotion, promotion of hindi literature.",110093,91-98731 97666,ANVESH,,Overall development of Urban Slums.,"M-11, Sundar Nagari
Delhi",team.anvesh@gmail.com,Sukriti Tripathi
http://www.gpcworld.com,"To promote information collaborations and constructive communication between ngos, to develop effective partnership with each other. Networking for the access, sharing and dissemination of information collaboration and partnerships between ngos themselves and with other organizations. Sharing of ideas among ngos and development agents. Avail free, easy and instant access to information. Help ngos in their fund-raising efforts. Provide more options before funding agencies to select the right choice of organisation to support and work with.",110024,91-98107 73479,Apna Prayas,,"Education, health.","G-32, Lajpatnagar-2
New Delhi",gpcworld@ymail.com,Pankaj Chaudhary
,Building a healthy society with the help of people.,110074,91-98919 12311,Archisa the Ray of Light,,To build a educated nation.,"D-85-A1, New Delhi
New Delhi",archisatherayoflight@gmail.com,Biswajit Samal
,"Arpeeta’s vision is to provide every children and women in healthy and safe environment. They should get minimum facilities and services of health, education and good social environment. we believe in people participation and empowerment through collective initiative to fulfill people dream the main objective of the organization is to stop exploitation and make efforts for the welfare of urban poor children and women living in slum basti and urban and rural area/ basti.",110092,91-98114 59306,ARPEETA,91-11-22375544,Child and woman development and empowerment,"150, Dayanand Vihar
Delhi",arpeetango@gmail.com,Archana
,Working particularly in the field of education and health of minorities especially muslims. To serve the humanity with great zeal is our mission.,110025,91-99106 13248,ARSH – Association for Resurgence & Social Health,91-120-4170140,"Education, health.","A 78/2, Shaheen Bagh, Abul Fazal Enclave II, Jamia Nagar, Okhla
New Delhi",malikrfaisal@gmail.com,Dr Malik Rashid Faisal
,"Social welfare, child welfare, women empowerment.",110062,91-99717 29588,Arsh Foundation,91-11-32650620,Social welfare.,"B 230, Tigri Extension
New Delhi",arshfndtn@gmail.com,Iftekhar Ahmed
,Provide education/technical education/coaching for govt. school student to improve knowledge vocational training/provide training & giving employment in mnc’s or other organization etc.,110096,91-99107 19374,Art of Sharing Knowledge Educational Society,,Education,"A 534, G.D.Colony, Mayur Vihar, Phase 3
Delhi",bipin_k_singh@yahoo.com,Bipin Kumar Singh
,To rehabilitate our children in society.,110085,91-98104 47901,Asha Ki Kiran,,,"B 10/96, Sector 3, Rohini
Delhi",sandhyasikka48@gmail.com,
,"Child care, oldage care, women care.",1100091,91-94314 17805,Ashirwad Foundation,,Social service,"C-61, Pandav-Nagar
New Delhi",,"Amit, Roushan"
http://www.asra.co.in,"We are ASRA – Accrete Social Reviews Advancement, a non government development organization which is working on issues of rural poor and other social works.",110059,"91-99719 99976, 91-98101 24485, 91-92123 74838, 91-98739 88094.",ASRA,91-11-25397014,,"31 A, Sainik Enclave, Sec 2, Mohan Garden
New Delhi",sanjay_kumar9808@yahoo.com,Asra
http://www.ableindiacharities.com,"We take action for the most vulnerable sections of the society – children women and families suffering from the disabling miseries of poverty and societal ills. enabling them through health and education to live with human dignity in a sustainable manner. Every human being lives with dignity in a world full of enabling opportunities. We bring to the most vulnerable sections of the society very specially poorest women and children health and education as enabling factors to help them to come aut of misery of povety, ill health and exploitation and live a life full of human dignity.",110057,91-98111 57104,Association for Blindness & Leprosy Eradication,91-129-2280468,Women empowerment.,"A 15/20, Vasant Vihar
New Delhi",ableindia@yahoomail.com,P.K.Khullar
,For upliftment of people below poverty line and providing necessary education and training programme.,110044,91-98688 07867,Association for Multi-Lateral Assistance to Effte Tribes,,For social service.,"E-157, Gali 6, Harinagar Extn., Badarpur
New Delhi",raisharan34@yahoo.com,R.S. Yadav
,As an organisation of un -organised workersit promotes organising of the unorganised workers towards creating a space in the mainstream developmental path of the country to enable such workers to attain not only their goals but their rightful due. As aq platform of informal/unorganised workers it promotes a sense of fraternity amongst them to have linkages with the government and the other national and international organisations towards realising their goals.,110048,91-98682 74336,Association for Social Security to Informal Sector Workers,,Social security to unorganised workers.,"2 Kailashkunj, GK-1
New Delhi",lalmanohar2007@hotmail.com,Manoharlal
,Tweet,110025,91-99101 69605,Association for Women & Children Welfare,,"Provides, basic services to the weaker section of the society in India.","8, Batla House, Jamia Nagar, Okhla
Delhi",awcw@sify.com,"Raja, Abdul, Rashid"
,To establish and maintain a complete social accountability educational system for sensitizing all corporate citizens to secure social accountability requirement standards at various central and state utilities.,110075,91-97033 18140,Association of Corporate Socialists & Educationists,,Social empowerment.,"E/502, Vth Floor, 17, Jagran Cghs Ltd, Sector 22, Dwaraka
New Delhi",corpoatesocialeducationist@gmail.com,D P Babu
,To work for the disabled by the disabled. To help the disabled to avail all the schemes and services provided by the govt. To make disabled self help and good cizen of India by its better life. Lets fight for disabled right.,110051,91-92139 53775,Association of Disabled for Development,,Disabled welfare,"B-92, 93 Joshi Colony
Delhi","addpower@sify.com, addpresident@yahoo.co.in",Sonu Bhola
,"Working among underprivileged people, making them free from bondages.",110032,91-93502 91934,Association of Revival Tabernacle,,Church based charity,"111, D.D.A (RPS), Shahdra
Delhi",artdelhi@gmail.com,S.Chalapathy
